jet_times,brst_start_datetime_closest,brst_end_datetime_closest,time_interval_start,time_interval_end
2015-09-15 11:17:44.107000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1103780.107,-82182458.893
2015-09-15 11:42:24.177000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1105260.177,-82180978.823
2015-09-15 11:48:34.082000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1105630.082,-82180608.918
2015-09-15 11:59:14.141000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1106270.141,-82179968.859
2015-09-15 13:01:04.141000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1109980.141,-82176258.859
2015-09-15 13:07:04.146000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1110340.146,-82175898.854
2015-09-15 12:59:34.140000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1109890.14,-82176348.86
2015-09-15 13:02:24.092000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1110060.092,-82176178.908
2015-09-16 12:54:44.197000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1196000.197,-82090238.803
2015-09-18 11:48:34.093000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1364830.093,-81921408.907
2015-09-18 12:31:44.177000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1367420.177,-81918818.823
2015-09-18 11:56:54.199000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1365330.199,-81920908.801
2015-09-18 11:53:54.197000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1365150.197,-81921088.803
2015-09-18 12:35:34.130000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1367650.13,-81918588.87
2015-09-18 11:51:34.095000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1365010.095,-81921228.905
2015-09-19 09:08:14.172000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1441610.172,-81844628.828
2015-09-19 09:04:44.169000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1441400.169,-81844838.831
2015-09-19 09:33:34.142000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1443130.142,-81843108.858
2015-09-19 09:45:04.152000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1443820.152,-81842418.848
2015-09-20 12:24:04.177000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1539760.177,-81746478.823
2015-09-20 11:37:44.190000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1536980.19,-81749258.81
2015-09-22 13:45:44.129000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1717460.129,-81568778.871
2015-09-22 14:10:44.150000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1718960.15,-81567278.85
2015-09-22 13:59:14.140000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1718270.14,-81567968.86
2015-09-22 14:06:44.147000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1718720.147,-81567518.853
2015-09-23 08:55:24.144000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1786440.144,-81499798.856
2015-09-23 09:03:44.101000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1786940.101,-81499298.899
2015-09-23 14:53:24.148000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1807920.148,-81478318.852
2015-09-23 16:53:54.102000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1815150.102,-81471088.898
2015-09-25 09:11:34.218000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1960210.218,-81326028.782
2015-09-25 09:13:54.170000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1960350.17,-81325888.83
2015-09-25 09:07:44.115000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1959980.115,-81326258.885
2015-09-25 09:38:14.140000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1961810.14,-81324428.86
2015-09-25 09:15:54.172000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1960470.172,-81325768.828
2015-09-25 09:59:14.157000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1963070.157,-81323168.843
2015-09-25 09:34:14.137000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1961570.137,-81324668.863
2015-09-25 09:19:44.125000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1960700.125,-81325538.875
2015-09-25 14:52:34.203000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1980670.203,-81305568.797
2015-09-25 14:54:34.204000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1980790.204,-81305448.796
2015-09-25 14:57:44.107000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1980980.107,-81305258.893
2015-09-30 10:18:44.081000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2396240.081,-80889998.919
2015-10-01 06:50:34.157000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2470150.157,-80816088.843
2015-10-01 06:49:14.206000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2470070.206,-80816168.794
2015-10-01 06:57:04.162000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2470540.162,-80815698.838
2015-10-01 06:52:14.208000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2470250.208,-80815988.792
2015-10-01 07:01:24.115000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2470800.115,-80815438.885
2015-10-03 07:06:24.090000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2643900.09,-80642338.91
2015-10-03 07:03:44.188000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2643740.188,-80642498.812
2015-10-03 14:45:34.221000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2671450.221,-80614788.779
2015-10-03 14:48:04.223000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2671600.223,-80614638.777
2015-10-03 14:49:14.124000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2671670.124,-80614568.876
2015-10-05 11:40:54.181000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2833170.181,-80453068.819
2015-10-05 11:46:04.085000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2833480.085,-80452758.915
2015-10-05 11:42:34.082000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2833270.082,-80452968.918
2015-10-05 11:52:44.141000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2833880.141,-80452358.859
2015-10-05 11:55:14.143000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2834030.143,-80452208.857
2015-10-06 09:56:34.133000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,2913310.133,-80372928.867
2015-10-08 09:34:14.179000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3084770.179,-80201468.821
2015-10-08 09:35:24.080000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3084840.08,-80201398.92
2015-10-08 10:32:44.078000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3088280.078,-80197958.922
2015-10-09 06:48:04.196000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3161200.196,-80125038.804
2015-10-09 09:34:44.082000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3171200.082,-80115038.918
2015-10-10 06:22:34.167000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3246070.167,-80040168.833
2015-10-12 06:22:44.078000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3418880.078,-79867358.922
2015-10-13 11:08:44.177000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3522440.177,-79763798.823
2015-10-14 13:20:14.152000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3616730.152,-79669508.848
2015-10-14 13:29:54.211000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3617310.211,-79668928.789
2015-10-16 11:27:54.185000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3782790.185,-79503448.815
2015-10-16 11:29:14.136000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3782870.136,-79503368.864
2015-10-16 11:25:54.183000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3782670.183,-79503568.817
2015-10-18 14:58:34.086000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3968230.086,-79318008.914
2015-10-18 14:56:54.184000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3968130.184,-79318108.816
2015-10-18 15:00:14.137000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,3968330.137,-79317908.863
2015-10-19 12:30:14.120000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4045730.12,-79240508.88
2015-10-19 12:32:14.122000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4045850.122,-79240388.878
2015-10-19 12:36:04.075000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4046080.075,-79240158.925
2015-10-19 12:34:04.223000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4045960.223,-79240278.777
2015-10-19 12:39:04.078000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4046260.078,-79239978.922
2015-10-21 14:50:24.214000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4226940.214,-79059298.786
2015-10-22 15:08:54.079000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4314450.079,-78971788.921
2015-10-22 15:06:54.077000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4314330.077,-78971908.923
2015-10-22 15:19:04.138000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4315060.138,-78971178.862
2015-10-22 15:15:44.185000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4314860.185,-78971378.815
