DATASEGMENTID,TAISTARTTIME (TAI seconds since 1958-01-01),TAIENDTIME (TAI seconds since 1958-01-01),PARAMETERSETID,FOM,ISPENDING,INPLAYLIST,STATUS,NUMEVALCYCLES,SOURCEID,CREATETIME,FINISHTIME,OBS1NUMBUFS,OBS2NUMBUFS,OBS3NUMBUFS,OBS4NUMBUFS,OBS1ALLOCBUFS,OBS2ALLOCBUFS,OBS3ALLOCBUFS,OBS4ALLOCBUFS,OBS1REMFILES,OBS2REMFILES,OBS3REMFILES,OBS4REMFILES,DISCUSSION
96521,2057151530,2057151630,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120109,ocontel(EVA),2023-03-12 21:55:35,2023-08-11 23:35:14,11,11,11,11,11,11,11,11,0,0,0,0,Partial MP crossing with Vz&gt;0 jet, cold ions and strong HF E and B waves
96522,2057151640,2057151730,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120109,ocontel(EVA),2023-03-12 21:55:35,2023-08-11 23:40:12,10,10,10,10,10,10,10,10,0,0,0,0,Partial MP crossing with Vz&gt;0 jet, cold ions and strong HF E and B waves
96523,2057151740,2057151840,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120109,ocontel(EVA),2023-03-12 21:55:35,2023-08-11 23:45:15,11,11,11,11,11,11,11,11,0,0,0,0,Partial MP crossing with Vz&gt;0 jet, cold ions and strong HF E and B waves
96570,2057173470,2057173650,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120109,ocontel(EVA),2023-03-12 21:55:36,2023-08-11 23:50:23,19,19,19,19,19,19,19,19,0,0,0,0,HFA
96767,2058074520,2058074640,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120103,sraptis(EVA),2023-03-23 20:10:25,2023-08-11 23:55:19,13,13,13,13,13,13,13,13,0,0,0,0,2 bow shock crossings, E 20 mV/m
96823,2058370930,2058370980,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120100,sraptis(EVA),2023-03-27 07:50:23,2023-08-11 23:55:19,6,6,6,6,6,6,6,6,0,0,0,0,MSH current sheet
96826,2058377850,2058378050,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 00:00:18,21,21,21,21,21,21,21,21,0,0,0,0,foreshock, high energy ions, E waves, ULF wavefield
96827,2058379450,2058379490,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 00:05:26,5,5,5,5,5,5,5,5,0,0,0,0,foreshock magnetic hole
96830,2058384230,2058384470,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,120100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 00:10:25,25,25,25,25,25,25,25,25,0,0,0,0,foreshock ulf wavefield, shocklets, SLAMS, high-energy ions
96831,2058384480,2058384730,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:20:13,26,26,26,26,26,26,26,26,0,0,0,0,foreshock ulf wavefield, shocklets, SLAMS, high-energy ions
96833,2058389690,2058389720,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:20:13,4,4,4,4,4,4,4,4,0,0,0,0,MSH magnetic hole
96836,2058425530,2058425670,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:25:15,15,15,15,15,15,15,15,15,0,0,0,0,solar wind current sheet
96837,2058425680,2058425830,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:25:15,16,16,16,16,16,16,16,16,0,0,0,0,solar wind current sheet
96838,2058428140,2058428330,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:35:13,20,20,20,20,20,20,20,20,0,0,0,0,foreshock, high energy ions, E&gt;100 keV
96839,2058428340,2058428540,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100100,sraptis(EVA),2023-03-27 07:50:23,2023-08-12 02:40:12,21,21,21,21,21,21,21,21,0,0,0,0,foreshock, high energy ions, E&gt;100 keV
97279,2060816230,2060816350,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,20082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 10:45:16,13,13,13,0,13,13,13,0,0,0,0,0,Q-para bow shock
97280,2060816360,2060816480,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,20082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 13:55:15,13,13,13,0,13,13,13,0,0,0,0,0,Q-para bow shock
97281,2060816490,2060816620,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,20082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 11:45:13,14,14,14,0,14,14,14,0,0,0,0,0,Q-para bow shock
97282,2060816630,2060816750,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,20082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 11:50:13,13,13,13,0,13,13,13,0,0,0,0,0,Q-para bow shock
97283,2060816760,2060816880,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,20082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 14:00:13,13,13,13,0,13,13,13,0,0,0,0,0,Q-para bow shock
97296,2060820730,2060820830,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,10082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 14:00:13,11,11,11,0,11,11,11,0,0,0,0,0,Q-para bow shock
97297,2060820840,2060820940,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,10082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 14:05:13,11,11,11,0,11,11,11,0,0,0,0,0,Q-para bow shock
97298,2060820950,2060821050,Revision: 1.10 ; parm_set: Revision: 1.121,115.0,0,0,COMPLETE+FINISHED,10082,hhiroshi(EVA),2023-04-24 23:10:11,2023-08-14 14:10:12,11,11,11,0,11,11,11,0,0,0,0,0,Q-para bow shock
97516,2061422370,2061422500,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100075,dgraham(EVA),2023-05-01 13:25:12,2023-08-12 02:45:14,14,14,14,14,14,14,14,14,0,0,0,0,Extended bowshock crossing
97517,2061422510,2061422640,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,100075,dgraham(EVA),2023-05-01 13:25:12,2023-08-12 16:20:12,14,14,14,14,14,14,14,14,0,0,0,0,Extended bowshock crossing
97527,2061433090,2061433240,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70075,dgraham(EVA),2023-05-01 13:25:12,2023-08-12 17:25:13,16,16,16,16,16,16,16,16,0,0,0,0,Foreshock structure, possible HFA
97544,2061650220,2061650320,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70073,tphan(EVA),2023-05-03 17:55:10,2023-08-12 17:25:13,11,11,11,11,11,11,11,11,0,0,0,0,partial MP
97545,2061650330,2061650430,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70073,tphan(EVA),2023-05-03 17:55:10,2023-08-12 17:15:13,11,11,11,11,11,11,11,11,0,0,0,0,partial MP
97597,2061921390,2061921510,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70070,tphan(EVA),2023-05-06 17:35:09,2023-08-12 17:20:13,13,13,13,13,13,13,13,13,0,0,0,0,foreshock transients
97598,2061921520,2061921640,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70070,tphan(EVA),2023-05-06 17:35:09,2023-08-12 17:25:13,13,13,13,13,13,13,13,13,0,0,0,0,foreshock transients
97599,2061921650,2061921760,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70070,tphan(EVA),2023-05-06 17:35:09,2023-08-12 17:30:12,12,12,12,12,12,12,12,12,0,0,0,0,foreshock transients
97600,2061921770,2061921890,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70070,tphan(EVA),2023-05-06 17:35:09,2023-08-12 17:35:12,13,13,13,13,13,13,13,13,0,0,0,0,foreshock transients
97601,2061921900,2061922020,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70070,tphan(EVA),2023-05-06 17:35:09,2023-08-12 17:40:12,13,13,13,13,13,13,13,13,0,0,0,0,foreshock transients
97653,2062141410,2062141460,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70068,tphan(EVA),2023-05-08 16:35:10,2023-08-12 17:40:12,6,6,6,6,6,6,6,6,0,0,0,0,SW reconnecting CS
97663,2062235190,2062235300,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70067,arogers(EVA),2023-05-11 04:55:10,2023-08-12 17:45:13,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock transient
97664,2062235310,2062235430,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,80068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 17:55:17,14,13,14,13,14,13,14,13,0,0,0,0,Bow shock transient
97665,2062235660,2062235770,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,80068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 17:55:17,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97666,2062235780,2062235900,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,80068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:00:13,13,14,14,13,13,14,14,13,0,0,0,0,Bow shock
97667,2062236210,2062236320,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:05:12,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97668,2062236750,2062236960,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:15:12,22,22,23,22,22,22,23,22,0,0,0,0,Bow shock
97669,2062237260,2062237350,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:20:12,10,10,10,10,10,10,10,10,0,0,0,0,Bow shock
97670,2062238090,2062238290,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:25:12,21,21,21,21,21,21,21,21,0,0,0,0,Bow Shock
97672,2062245320,2062245420,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10068,arogers(EVA),2023-05-11 04:55:10,2023-08-12 18:30:12,11,11,11,11,11,11,11,11,0,0,0,0,Quasi-Perp bow shock
97673,2062245430,2062245520,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-11 04:55:10,2023-08-14 17:30:15,10,10,10,10,10,10,10,10,0,0,0,0,Quasi-Perp bow shock
97674,2062245530,2062245630,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-11 04:55:10,2023-08-14 17:30:15,11,11,11,11,11,11,11,11,0,0,0,0,Quasi-Perp bow shock
97675,2062250460,2062250570,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-11 04:55:10,2023-08-14 17:35:13,12,12,12,12,12,12,12,12,0,0,0,0,Bow Shock
97676,2062250580,2062250700,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-11 04:55:10,2023-08-14 17:40:21,13,13,13,13,13,13,13,13,0,0,0,0,Bow Shock
97677,2062250910,2062251030,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-11 04:55:10,2023-08-14 17:40:21,13,13,13,13,13,13,13,13,0,0,0,0,Bow shock
97678,2062251040,2062251170,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10070,arogers(EVA),2023-05-11 04:55:10,2023-08-15 20:25:13,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97679,2062251380,2062251520,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70,arogers(EVA),2023-05-11 04:55:10,2023-08-15 20:30:13,15,15,15,15,15,15,15,15,0,0,0,0,Intermittent bow shock
97680,2062251530,2062251660,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70,arogers(EVA),2023-05-11 04:55:10,2023-08-15 20:35:14,14,14,14,14,14,14,14,14,0,0,0,0,Intermittent bow shock
97681,2062251670,2062251810,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70,arogers(EVA),2023-05-11 04:55:10,2023-08-15 20:40:15,15,15,15,15,15,15,15,15,0,0,0,0,Intermittent bow shock
97682,2062251820,2062251950,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70,arogers(EVA),2023-05-11 04:55:10,2023-08-15 20:45:13,14,14,14,14,14,14,14,14,0,0,0,0,Intermittent bow shock
97683,2062251960,2062252100,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10071,arogers(EVA),2023-05-11 04:55:10,2023-08-18 03:55:16,15,15,15,15,15,15,15,15,0,0,0,0,Intermittent bow shock
97684,2062252470,2062252600,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,10071,arogers(EVA),2023-05-11 04:55:11,2023-08-18 08:25:14,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock out and in
97685,2062252610,2062252740,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20072,arogers(EVA),2023-05-11 04:55:11,2023-08-21 16:45:16,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock out and in
97691,2062257410,2062257500,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20072,arogers(EVA),2023-05-11 04:55:11,2023-08-21 16:50:14,10,10,10,10,10,10,10,10,0,0,0,0,Magnetic hole with absent electrons
97692,2062257630,2062257730,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20072,arogers(EVA),2023-05-11 04:55:11,2023-08-21 16:50:14,11,11,11,11,11,11,11,11,0,0,0,0,Partial MP crossing
97693,2062257740,2062257840,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20072,arogers(EVA),2023-05-11 04:55:11,2023-08-21 16:55:14,11,11,11,11,11,11,11,11,0,0,0,0,Partial MP crossing
97694,2062257850,2062257950,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20072,arogers(EVA),2023-05-11 04:55:11,2023-08-21 16:55:14,11,11,11,11,11,11,11,11,0,0,0,0,Partial MP crossing
97712,2062320080,2062320200,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,65,arogers(EVA),2023-05-12 20:51:54,2023-08-08 13:35:20,13,13,13,13,0,0,13,0,13,13,13,13,Partial MP crossing
97713,2062320210,2062320340,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,65,arogers(EVA),2023-05-12 20:51:54,2023-08-08 13:35:20,14,14,14,14,0,0,14,0,14,14,14,14,Partial MP crossing
97714,2062320350,2062320480,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,70,arogers(EVA),2023-05-12 20:51:54,2023-08-17 06:55:09,14,14,14,14,0,0,14,0,14,14,14,14,Partial MP crossing
97715,2062320490,2062320620,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,66,arogers(EVA),2023-05-12 20:51:54,2023-08-09 21:35:09,14,14,14,14,1,0,14,0,14,14,14,14,Partial MP crossing
97716,2062320630,2062320750,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,70,arogers(EVA),2023-05-12 20:51:54,2023-08-17 06:55:09,13,13,13,13,0,0,13,0,13,13,13,13,Partial MP crossing
97717,2062320760,2062320890,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,66,arogers(EVA),2023-05-12 20:51:54,2023-08-09 21:35:09,14,14,14,14,3,0,14,0,14,14,14,14,Partial MP crossing
97718,2062329710,2062329840,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,DERELICT+FINISHED,61,arogers(EVA),2023-05-12 20:51:54,2023-08-02 03:30:23,14,14,14,14,0,0,11,0,14,14,14,14,Bow shock encounter
97776,2062530530,2062530710,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 06:30:14,19,19,19,19,19,19,19,19,0,0,0,0,Bow shock
97777,2062531270,2062531430,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 06:35:14,17,17,17,17,17,17,17,17,0,0,0,0,Bow shock
97778,2062532220,2062532350,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 06:40:11,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97779,2062532360,2062532490,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 10:55:22,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97780,2062532500,2062532640,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:00:15,15,15,15,15,15,15,15,15,0,0,0,0,Bow shock
97781,2062532650,2062532780,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:05:15,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97782,2062534260,2062534360,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:05:15,11,11,11,11,11,11,11,11,0,0,0,0,Bow shock
97783,2062538230,2062538340,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:10:29,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97784,2062538350,2062538460,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:10:29,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97785,2062538470,2062538580,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:15:17,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97786,2062538590,2062538700,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:20:14,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97787,2062545440,2062545530,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30070,arogers(EVA),2023-05-14 04:45:14,2023-08-22 11:20:14,10,10,10,10,10,10,10,10,0,0,0,0,Bow shock
97805,2062614470,2062614610,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:25:17,15,15,15,15,15,15,15,15,0,0,0,0,Partial MP crossing
97806,2062614620,2062614750,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,30069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:30:14,14,14,14,14,14,14,14,14,0,0,0,0,Partial MP crossing
97807,2062614760,2062614900,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:30:14,15,15,15,15,15,15,15,15,0,0,0,0,Partial MP crossing
97808,2062615370,2062615480,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:35:15,12,12,12,12,12,12,12,12,0,0,0,0,Partial MP crossing
97809,2062615490,2062615610,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:40:14,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossing
97810,2062615620,2062615730,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:40:14,12,12,12,12,12,12,12,12,0,0,0,0,Partial MP crossing
97811,2062629070,2062629250,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:45:14,19,19,19,19,19,19,19,19,0,0,0,0,Bow shock
97812,2062630260,2062630460,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:50:15,21,21,21,21,21,21,21,21,0,0,0,0,Bow Shock
97813,2062630610,2062630750,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 11:55:15,15,15,15,15,15,15,15,15,0,0,0,0,Bow shock
97814,2062630760,2062630890,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,20069,arogers(EVA),2023-05-15 03:50:22,2023-08-22 12:00:13,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97815,2062630900,2062631040,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 03:30:18,15,15,15,15,15,15,15,15,0,0,0,0,Bow shock
97816,2062634740,2062634900,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 04:10:14,17,17,17,17,17,17,17,17,0,0,0,0,Bow shock
97817,2062636330,2062636510,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 08:50:14,19,19,19,19,19,19,19,19,0,0,0,0,Bow shock
97818,2062637210,2062637320,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 08:55:15,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97819,2062637330,2062637430,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 09:00:13,11,11,11,11,11,11,11,11,0,0,0,0,Bow shock
97820,2062637440,2062637550,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,40071,arogers(EVA),2023-05-15 03:50:22,2023-08-25 09:05:12,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97821,2062640200,2062640390,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60073,arogers(EVA),2023-05-15 03:50:22,2023-08-28 16:35:15,20,20,20,20,20,20,20,20,0,0,0,0,Bow shock
97822,2062643350,2062643470,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60073,arogers(EVA),2023-05-15 03:50:23,2023-08-28 16:40:13,13,13,13,13,13,13,13,13,0,0,0,0,Bow shock
97823,2062643480,2062643610,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60073,arogers(EVA),2023-05-15 03:50:23,2023-08-28 16:45:13,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97824,2062643620,2062643740,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 08:50:14,13,13,13,13,13,13,13,13,0,0,0,0,Bow shock
97825,2062643750,2062643880,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 08:55:14,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97826,2062644530,2062644640,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 08:55:14,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97827,2062644650,2062644760,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 09:00:14,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97828,2062644770,2062644880,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 09:05:14,12,12,12,12,12,12,12,12,0,0,0,0,Bow shock
97829,2062645290,2062645420,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 09:05:14,14,14,14,14,14,14,14,14,0,0,0,0,Bow shock
97831,2062650590,2062650840,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60074,arogers(EVA),2023-05-15 03:50:23,2023-08-29 09:15:18,26,26,26,26,26,26,26,26,0,0,0,0,Bow shock
